Domain,URL Count,Avg Confidence,Analysis Methods,Top Reasons,Status
es.investfinance.pro,6,87.50,unknown,"The content provided raises several compliance iss... | //admiralmarkets.com/"" but the hyperlink redirects... | The content provided from the URL includes a redir...",BLACKLISTED_DOMAIN
www.allbestdomains.online,6,89.17,unknown,"The URL provided leads to a domain listing page th... | The content provided includes a domain with a "".sc... | The URL provided leads to a domain list that inclu...",BLACKLISTED_DOMAIN
www.livebacklinks.com,6,90.00,unknown,"The URL provided contains a link to ""admiralmarket... | The content provided includes a URL (admiralmarket... | The URL provided leads to a page that lists variou...",BLACKLISTED_DOMAIN
www.innovatingtechnology.com,6,90.00,unknown,"The content provided includes a URL with a "".sc"" d... | The content provided includes a URL with a top-lev... | The URL provided leads to a domain that uses a "".s...",BLACKLISTED_DOMAIN
www.linkus.in,6,87.50,unknown,"The URL provided, admiralmarkets.sc, raises potent... | The URL provided lists a domain ""admiralmarkets.sc... | The URL provided, specifically the domain ""admiral...",BLACKLISTED_DOMAIN
www.popcornbusiness.com,6,89.17,unknown,"The URL provided lists a domain ""admiralmarkets.sc... | The content provided includes a URL (admiralmarket... | The URL provided leads to a website that lists var...",BLACKLISTED_DOMAIN
baswiss.net,5,85.00,unknown,The content on the provided URL suggests the use o... | The content on the provided URL raises several com... | The content on the provided URL suggests the use o...,BLACKLISTED_DOMAIN
www.risikomanagement-news.com,5,87.00,unknown,The content provided appears to be promotional in ... | The content provided from the URL seems to promote... | The content provided appears to be promoting finan...,BLACKLISTED_DOMAIN
www.campingtours.in,5,86.00,unknown,"// admiralmarkets .com/""), which may be an attempt... | The content provided includes URLs that appear sus... | The URL provided leads to a page that lists variou...",BLACKLISTED_DOMAIN
brokertrustscore.com,5,86.00,unknown,The content on the provided URL raises several com... | The content provided raises several compliance con... | The content provided from the URL contains a poten...,BLACKLISTED_DOMAIN
fxtyros.com,4,86.25,unknown,The content provided raises several red flags typi... | The content provided raises several red flags typi... | The content provided on the URL raises several red...,BLACKLISTED_DOMAIN
www.searchalldomains.com,4,88.75,unknown,"The URL provided, specifically the domain ""admiral... | The domain ""admiralmarkets.sc"" raises significant ... | The content provided includes a domain with a "".sc...",BLACKLISTED_DOMAIN
ee-3.online,4,92.50,unknown,The URL and content suggest potential phishing or ... | The content of the URL appears to be involved in d... | The URL and content suggest potential phishing or ...,BLACKLISTED_DOMAIN
www.latimforex.com,4,90.00,unknown,The content provided raises several red flags typi... | The content provided raises several red flags typi... | The content provided raises several red flags typi...,BLACKLISTED_DOMAIN
ee-8.online,4,92.50,unknown,The URL and content suggest potential phishing or ... | The URL and content suggest a potential phishing a... | The content of the URL appears to be attempting to...,BLACKLISTED_DOMAIN
fraude-forex.com,4,87.50,unknown,The content of the URL raises significant complian... | The URL and the content provided suggest potential... | The URL and the content provided suggest potential...,BLACKLISTED_DOMAIN
lebonfinancier.com,4,88.75,unknown,"The content on the provided URL raises significant... | The content on the URL suggests the promotion of a... | The content on the URL suggests the promotion of ""...",BLACKLISTED_DOMAIN
reviewtradingplatforms.com,4,87.50,unknown,The content provided raises several red flags typi... | //partners.admiralmarkets.com/AXwcPk) suggests a l... | The content provided raises several red flags typi...,BLACKLISTED_DOMAIN
rgs.edu.pk,4,86.25,unknown,The content on the provided URL appears to be pote... | The content provided on the URL seems to be in Rus... | The content provided appears to be related to Fore...,BLACKLISTED_DOMAIN
lqsservices.co.uk,4,86.25,unknown,The content provided suggests potential misleading... | // admiralmarkets .com/ru/education/articles/forex... | The content suggests that the website is associate...,BLACKLISTED_DOMAIN
forexpenguin.com,4,0.75,real_llm,The website appears to be promoting a $100 no-depo... | The content appears to be promoting a $100 no-depo... | The website promotes a $100 no-deposit bonus for A...,BLACKLISTED_DOMAIN
test-pafx.priceactionltd.com,4,0.80,real_llm,The webpage appears to be about Forex trading sign... | The webpage appears to be about Forex trading sign... | The webpage appears to be about Forex trading sign...,BLACKLISTED_DOMAIN
x-trader.net,4,0.60,real_llm,The content appears to be a forum discussion about... | The content appears to be a forum discussion about... | The content appears to be a forum discussion about...,BLACKLISTED_DOMAIN
wikifxcn.com,4,0.60,real_llm,The content contains mixed information about Admir... | The content contains mixed information about Admir... | The content contains mixed information about Admir...,BLACKLISTED_DOMAIN
admiralmarket.net,3,0.95,"unknown, real_llm",This website appears to be an unauthorized clone o... | This website appears to be an unauthorized clone o... | This website appears to be an unauthorized clone o...,BLACKLISTED_DOMAIN
admiralmarkets.ch,3,86.67,unknown,/  #) suggest potential phishing or scam activitie... | The content from the URL provided raises several c... | The content on the URL provided raises several com...,BLACKLISTED_DOMAIN
trustfindy.com,3,86.67,unknown,The content provided raises several red flags typi... | The content provided raises several red flags typi... | The content provided raises several red flags typi...,BLACKLISTED_DOMAIN
www.bestmillion.net,3,88.33,unknown,"The URL provided lists a domain ""admiralmarkets.sc... | The URL provided leads to a website that lists var... | The URL provided lists a domain ""admiralmarkets.sc...",BLACKLISTED_DOMAIN
www.restsuite.com,3,85.00,unknown,"// admiralmarkets .com/), which includes unnecessa... | The content provided includes URLs that are suspic... | The content provided includes a domain that appear...",BLACKLISTED_DOMAIN
www.listrecord.com,3,88.33,unknown,"The URL provided includes a link to ""admiralmarket... | The URL provided leads to a website that lists var... | The URL provided, specifically the link to ""admira...",BLACKLISTED_DOMAIN
comparebrokersfast.com,3,86.67,unknown,The content provided from the URL raises several c... | The content provided raises several red flags typi... | The content provided from the URL raises several c...,BLACKLISTED_DOMAIN
brokerascent.com,3,90.00,unknown,The content provided raises significant compliance... | The content provided includes a direct link encour... | The content provided raises significant compliance...,BLACKLISTED_DOMAIN
myfxtrading.online,3,85.00,unknown,The website content raises several red flags typic... | The content on the URL provided raises several com... | The content on the provided URL raises several com...,BLACKLISTED_DOMAIN
brokersome.com,3,1.00,real_llm,The website appears to be a legitimate comparison ... | The website appears to be a comparison website for... | The website https://www.brokersome.com/forex-broke...,BLACKLISTED_DOMAIN
investfunds.ua,3,0.70,real_llm,The content appears to be discussing a promotion o... | The webpage appears to be offering a promotion or ... | The content appears to be a error page with mentio...,BLACKLISTED_DOMAIN
postonseo.com,3,0.57,real_llm,"The content appears to be a list of website URLs, ... | The content appears to be a list of website URLs, ... | The content appears to be a list of websites with ...",BLACKLISTED_DOMAIN
topfxbrokersreview.com,3,0.70,real_llm,The website provides general information about for... | The website provides general information about for... | The website provides general information about for...,BLACKLISTED_DOMAIN
x-invest.net,3,0.60,real_llm,The content appears to be a forum discussion about... | The content appears to be a forum discussion about... | The content appears to be a forum discussion about...,BLACKLISTED_DOMAIN
videobourse.fr,3,0.73,real_llm,The content appears to be a forum discussion about... | The website appears to be a forum discussing vario... | The website appears to be a forum discussing vario...,BLACKLISTED_DOMAIN
fxgecko.com,3,0.60,real_llm,The content appears to be a review of Admiral Mark... | The website appears to provide information about A... | The content appears to be a review or rating page ...,BLACKLISTED_DOMAIN
technologiebox.de,3,0.65,fallback,FALLBACK: Found potential compliance issues (1 hig...,BLACKLISTED_DOMAIN
moneyhighstreet.com,3,0.60,real_llm,The webpage mentions Admiral Markets but does not ... | The webpage appears to be discussing short selling... | The content appears to be incomplete or contains e...,BLACKLISTED_DOMAIN
depotvergleich.com,3,0.65,fallback,FALLBACK: Found potential compliance issues (1 hig...,BLACKLISTED_DOMAIN
rankerdirectory.com,3,0.60,real_llm,"The content appears to be a list of websites with ... | The content appears to be a list of websites, some... | The content appears to be a list of websites with ...",BLACKLISTED_DOMAIN
www.fxeyema.com,2,0.95,unknown,This website appears to be an unauthorized clone o... | This website appears to be an unauthorized clone o...,SUSPICIOUS
www.forexproadvisor.com,2,0.90,unknown,The content appears to be promoting an unauthorize... | The content appears to be offering an unauthorized...,SUSPICIOUS
ianmcknight266.typepad.com,2,47.98,unknown,"The content appears to be spam or irrelevant, with... | The content provided includes links that are poten...",SUSPICIOUS
miningnewsday.com,2,87.50,unknown,The content on the provided URL raises several com... | //admiralmarkets.com/start-trading) is formatted s...,SUSPICIOUS
report-scammer.com,2,85.00,unknown,The content on the provided URL raises several com... | The content on the provided URL raises several red...,SUSPICIOUS
www.csctraders.com.au,2,85.00,unknown,The content on the provided URL raises several red... | The content on the URL provided raises several red...,SUSPICIOUS
investfinance.pro,2,85.00,unknown,"The URL provided raises several red flags typical ... | //partners. admiralmarkets .com/pgoKzm), which is ...",SUSPICIOUS
artic-circles.net,2,85.00,unknown,The URL provided shows signs of potential non-comp... | //admiralmarkets.com/education/articles/trading-ps...,SUSPICIOUS
assetnews4u.com,2,87.50,unknown,The content on the provided URL raises several red... | The content provided from the URL raises several c...,SUSPICIOUS
namit.top,2,87.50,unknown,The content on the provided URL raises several com... | The content on the provided URL raises several red...,SUSPICIOUS
allaboutfxbroker.com,2,85.00,unknown,"//partners.admiralmarkets.com/AXwcPk), which is a ... | The content on the provided URL raises several com...",SUSPICIOUS
covertbusiness.weebly.com,2,85.00,unknown,The content provided from the URL suggests potenti... | The URL provided leads to a website that appears t...,SUSPICIOUS
www.youthfulventures.com,2,85.00,unknown,The content includes a link to a site promoting CF... | The content on the provided URL includes a link th...,SUSPICIOUS
votethemarket.com,2,87.50,unknown,The content provided from the URL raises several c... | The content provided from the URL includes a direc...,SUSPICIOUS
www.hr1.lt,2,90.00,unknown,The content of the URL suggests potential misleadi... | The URL content appears to be problematic for seve...,SUSPICIOUS
www.brokerverzeichnis.de,2,87.50,unknown,The content provided from the URL raises several c... | The content provided from the URL raises several r...,SUSPICIOUS
wenoted.com,2,87.50,unknown,The content provided from the URL appears to promo... | The content provided from the URL appears to poten...,SUSPICIOUS
www.domainbutton.com,2,90.00,unknown,"The URL provided, specifically pointing to ""admira... | The URL provided leads to a domain with a "".sc"" to...",SUSPICIOUS
target-arrow.com,2,85.00,unknown,The content on the provided URL suggests potential... | The content provided from the URL appears to be pr...,SUSPICIOUS
informacionfinanciera.es,2,85.00,unknown,The content provided raises concerns primarily due... | // admiralmarkets .sc/latam/education/curso-tradin...,SUSPICIOUS
185.8.174.17,2,85.00,unknown,The content provided suggests a guide on how to en... | //185.8.174.17) instead of a domain name can be in...,SUSPICIOUS
zeldeq.com,2,85.00,unknown,The content on the provided URL raises several com... | The content on the provided URL raises several com...,SUSPICIOUS
tradeinvestments.weebly.com,2,85.00,unknown,The content on the provided URL suggests potential... | The content on the provided URL suggests offering ...,SUSPICIOUS
institution-trader.com,2,85.00,unknown,The content snippet from the URL provided includes... | The content snippet provided discusses the use of ...,SUSPICIOUS
fxrocketprofits.com,2,90.00,unknown,The content on the URL promotes a highly questiona... | The content on the provided URL promotes a highly ...,SUSPICIOUS
monirecycle.live,2,85.00,unknown,"The content on the provided URL raises several red... | The Costs You Didn’t Expect"" suggests that the bro...",SUSPICIOUS
globalforexreview.com,2,87.50,unknown,The content provided raises several red flags typi... | //partners.admiralmarkets.com/AXwcPk) that appears...,SUSPICIOUS
tradebrokerrank.com,2,85.00,unknown,The content provided raises several red flags typi... | //partners.admiralmarkets.com/AXwcPk) suggests pos...,SUSPICIOUS
emprenderahora.com,2,90.00,unknown,The content provided includes a direct link to dow... | The content includes a direct download link for Me...,SUSPICIOUS
daogouyuan.net,2,85.00,unknown,The URL content suggests a potential phishing risk... | The content provided suggests a potential phishing...,SUSPICIOUS
profitpeakfinance.com,2,85.00,unknown,// admiralmarkets .com/education/articles/shares/b... | //admiralmarkets.com/education/articles/shares/buy...,SUSPICIOUS
investing-compare.ai,2,90.00,unknown,"The content on the provided URL raises significant... | A Review of the Best CFD Brokers for Traders"") cou...",SUSPICIOUS
financesmaisons.fr,2,85.00,unknown,The content suggests strategies for generating rev... | The content on the URL promotes strategies for gen...,SUSPICIOUS
paidrebate.com,2,87.50,unknown,The content on the provided URL appears to be prom... | The content provided raises several compliance con...,SUSPICIOUS
negociosmilionariosbr.com,2,90.00,unknown,The content provided from the URL appears to be pr... | The content provided includes a URL that appears t...,SUSPICIOUS
bestbinaryoptionstradingbrokers.yolasite.com,2,87.50,unknown,// admiralmarkets .com/analytics/traders-blog/top-... | The URL provided leads to a site that promotes bin...,SUSPICIOUS
www.tradingvictor.com,2,87.50,unknown,The content on the provided URL raises several red... | The content on the provided URL suggests trading p...,SUSPICIOUS
financeinvesta.com,2,85.00,unknown,The content provided from the URL includes a direc... | The content provided includes a direct link to sig...,SUSPICIOUS
janjagritifoundation.in,2,85.00,unknown,The content provided suggests that the website is ... | The content provided suggests a ranking of top For...,SUSPICIOUS
amitisshoping.com,2,90.00,unknown,The content provided from the URL raises several r... | The content on the provided URL raises several red...,SUSPICIOUS
valhallavitality.org,2,85.00,unknown,The content on the provided URL suggests a negativ... | The content provided includes a URL that appears t...,SUSPICIOUS
karollbroker.bg,2,90.00,unknown,The content provided includes multiple URLs that r... | The content from the URL suggests potential compli...,SUSPICIOUS
www.rentner24.eu,2,85.00,unknown,"The content provided from the URL suggests a ""5-st... | The content provided suggests a ""5-step master pla...",SUSPICIOUS
camargomoveisrusticos.com.br,2,87.50,unknown,The content provided suggests a potential link to ... | The content provided includes a URL that leads to ...,SUSPICIOUS
burgessdustin.typepad.com,2,87.50,unknown,The content provided contains URLs that are suspic... | The content provided includes multiple hyperlinks ...,SUSPICIOUS
www.forexbroker.tips,2,85.00,unknown,The content provided raises several compliance con... | The content provided raises several compliance con...,SUSPICIOUS
liftandplough.com,2,87.50,unknown,The content of the URL suggests potential fraudule... | The content of the URL raises concerns primarily d...,SUSPICIOUS
pooshakeform.ir,2,90.00,unknown,The content on the provided URL suggests a financi... | The content on the provided URL raises several red...,SUSPICIOUS
badain.shop,2,87.50,unknown,The content provided raises several red flags typi... | // admiralmarkets .com/ru/education/articles/forex...,SUSPICIOUS
uktdom76.ru,2,87.50,unknown,The URL content suggests methods to disable double... | The URL content suggests a method to disable doubl...,SUSPICIOUS
patr7apitt.typepad.com,2,90.00,unknown,The content provided includes URLs that appear to ... | The content provided contains multiple suspicious ...,SUSPICIOUS
investor-club.net,2,85.00,unknown,The content provided raises several red flags typi... | The content on the provided URL raises several com...,SUSPICIOUS
www.vipforexbrokers.com,2,85.00,unknown,The content provided from the URL raises several c... | The content on the provided URL raises several red...,SUSPICIOUS
ultimatebrokerguide.com,2,90.00,unknown,The content provided includes a direct call to act... | The content provided raises several compliance con...,SUSPICIOUS
brokersview.info,2,90.00,unknown,The content provided raises several compliance con... | The content provided includes a direct link that a...,SUSPICIOUS
forexinsight.info,2,90.00,unknown,The content provided includes a direct call to act... | //admiralmarkets.sc/vn/start-trading) uses a domai...,SUSPICIOUS
brokerreviewmaster.com,2,90.00,unknown,The content provided from the URL includes a direc... | //brokerreviewmaster.com/brokers/admiral-markets-r...,SUSPICIOUS
www.chartlogicea.com,2,87.50,unknown,The content suggests that individuals can earn an ... | The content provided from the URL suggests potenti...,SUSPICIOUS
presse-control.de,2,0.65,fallback,FALLBACK: Found potential compliance issues (1 hig...,SUSPICIOUS
newtonadvisor.com,2,0.65,fallback,FALLBACK: Found potential compliance issues (1 hig...,SUSPICIOUS
bg.fxverify.com,2,0.90,real_llm,The website appears to be a review site for Admira... | The content appears to be a review of Admirals (Ad...,SUSPICIOUS
old.infobraila.ro,2,0.50,real_llm,The content appears to be an old blog post from 20...,SUSPICIOUS
fxtoplist.com,2,0.60,real_llm,The content mentions Admiral Markets as a live bro... | The content mentions Admiral Markets as a live bro...,SUSPICIOUS
stockhax.com,2,0.90,real_llm,The content on the website appears to provide a ne... | The content appears to be a review of various fore...,SUSPICIOUS
business-presse.de,2,0.70,real_llm,The webpage appears to be offering a bonus promoti... | The webpage appears to be restricted by Cloudflare...,SUSPICIOUS
rebatekingfx.com,2,0.79,fallback,FALLBACK: Found 3 high-severity compliance issues ...,SUSPICIOUS
fxnewinfo.com,2,0.60,real_llm,The webpage provides general information about for... | The webpage provides general information about for...,SUSPICIOUS
forexroboteasy.com,2,0.65,real_llm,The content appears to be a review of Admiral Mark... | The content appears to be an image with a brief me...,SUSPICIOUS
hovary.com,2,0.60,real_llm,The content appears to be a Trustpilot custom widg... | The content appears to be a Trustpilot custom widg...,SUSPICIOUS
newsme.com.ua,2,0.60,real_llm,"The content mentions Admiral Markets, but the cont... | The content appears to be a general article about ...",SUSPICIOUS
wipsites.com,2,0.60,real_llm,The content appears to be a brief introduction to ... | The content appears to be a general day trading fo...,SUSPICIOUS
keyosa.com,2,0.85,real_llm,The content appears to be promoting a gambling or ... | The website appears to be promoting unauthorized a...,SUSPICIOUS
welshmum.co.uk,2,0.65,fallback,FALLBACK: Found potential compliance issues (1 hig...,SUSPICIOUS
skincityindia.com,2,0.90,real_llm,The content appears to be promoting unauthorized l... | The content appears to be promoting unauthorized a...,SUSPICIOUS
tikrai.lt,2,0.60,real_llm,The content appears to be about a company called A... | The content appears to be about a company called A...,SUSPICIOUS
thelivetraderoom.com,2,0.65,real_llm,The content appears to be promoting Admiral Market... | The content appears to be recommending Admiral Mar...,SUSPICIOUS
safeforexbrokers.com,2,0.76,fallback,FALLBACK: Found 2 high-severity compliance issues ...,SUSPICIOUS
suspicious-site.com,1,0.00,real_llm,The content contains serious compliance issues tha...,FLAGGED
scam-alert.com,1,0.00,real_llm,The content makes misleading claims about Admiral ...,FLAGGED
fxonline24h.com,1,0.00,real_llm,The content appears to be an unauthorized review s...,FLAGGED
wikifxka.com,1,0.00,real_llm,This website appears to be an unauthorized clone o...,FLAGGED
fxeyema.com,1,0.70,real_llm,While the content appears to be a legitimate revie...,FLAGGED
findforexbonus.com,1,0.95,real_llm,This content appears to be promoting an unauthoriz...,FLAGGED
tradeopsion.ru,1,0.95,real_llm,This content contains several serious compliance i...,FLAGGED
investfxtime.com,1,0.95,real_llm,The content appears to be promoting an unauthorize...,FLAGGED
example.com,1,0.79,fallback,FALLBACK: Found 3 high-severity compliance issues ...,FLAGGED
example2.com,1,0.95,real_llm,The content makes misleading claims of guaranteed ...,FLAGGED
example4.com,1,0.95,real_llm,This content contains serious compliance issues th...,FLAGGED
test-c471522a.example.com,1,0.79,fallback,FALLBACK: Found 3 high-severity compliance issues ...,FLAGGED
topbrokervn.net,1,0.76,fallback,FALLBACK: Found 2 high-severity compliance issues ...,FLAGGED
fx-1688.com,1,0.76,fallback,FALLBACK: Found 2 high-severity compliance issues ...,FLAGGED
fxeye25.com,1,0.76,fallback,FALLBACK: Found 2 high-severity compliance issues ...,FLAGGED
globalfxrebate.com,1,0.76,fallback,FALLBACK: Found 2 high-severity compliance issues ...,FLAGGED
joolhome.com,1,0.95,unknown,The content appears to be promoting unauthorized b...,FLAGGED
hindi.recipes,1,0.95,unknown,The content appears to be promoting unauthorized b...,FLAGGED
brickcol.com,1,0.95,unknown,The content appears to be promoting unauthorized b...,FLAGGED
imecsa.com.pe,1,0.95,unknown,The content appears to be promoting unauthorized b...,FLAGGED
laurelstreetsmiles.com,1,0.95,unknown,The content appears to be promoting unauthorized b...,FLAGGED
webwinkeldev.com,1,0.95,unknown,The content appears to be promoting black hat SEO ...,FLAGGED
unlimitedservices.org,1,0.95,unknown,The content appears to be promoting unauthorized b...,FLAGGED
atexstyle.co.uk,1,0.95,unknown,The content appears to be promoting unauthorized b...,FLAGGED
aquabagusa.com,1,0.95,unknown,The content appears to be promoting unauthorized b...,FLAGGED
crbookings.com,1,0.95,unknown,The content appears to be promoting unauthorized b...,FLAGGED
www.legallystart.com,1,0.95,unknown,The content appears to be promoting unauthorized b...,FLAGGED
www.jskcourse.com,1,0.95,unknown,The content appears to be promoting unauthorized b...,FLAGGED
comerciobrillante.com,1,0.95,unknown,The content appears to be promoting unauthorized b...,FLAGGED
www.fxeyevip.com,1,0.95,unknown,This website appears to be falsely representing it...,FLAGGED
capitaltradingfx.com,1,0.95,unknown,The content appears to be an unauthorized advertis...,FLAGGED
ee-2.online,1,0.95,unknown,The URL appears to be a phishing site attempting t...,FLAGGED
ee-9.online,1,0.95,unknown,The URL appears to be a phishing site attempting t...,FLAGGED
www.bonuscodesarena.com,1,0.95,unknown,This content promotes an unauthorized 100% welcome...,FLAGGED
hating.md,1,0.90,unknown,The content appears to be a negative review of Adm...,FLAGGED
lostmoney.biz,1,90.00,unknown,"//lostmoney.biz"" itself is suggestive of a scam, a...",FLAGGED
n26.com,1,90.00,unknown,The content provided from the URL includes fragmen...,FLAGGED
pitaforex.com,1,85.00,unknown,The content on the provided URL raises several red...,FLAGGED
guiacompleta.es,1,85.00,unknown,//www. admiralmarkets .com/) could be seen as an a...,FLAGGED
afrique-invest.org,1,90.00,unknown,The URL provided shows potential signs of non-comp...,FLAGGED
cyrusknowles50.typepad.com,1,90.00,unknown,The content provided contains multiple hyperlinks ...,FLAGGED
reich-im-alter.info,1,85.00,unknown,"//admiralmarkets.com/d"") suggests an attempt to di...",FLAGGED
mohcurency.com,1,85.00,unknown,The content provided from the URL includes a hyper...,FLAGGED
www.brakek.com,1,85.00,unknown,The content provided includes links that appear to...,FLAGGED
fxevaluator.com,1,90.00,unknown,The content on the provided URL raises several red...,FLAGGED
kifa.ro,1,85.00,unknown,The content on the provided URL suggests that trad...,FLAGGED
bestbroker88.com,1,85.00,unknown,"The content suggests that Admirals, presumably a f...",FLAGGED
www.cashbackforex.com,1,85.00,unknown,The content provided raises several red flags typi...,FLAGGED
188.226.251.49,1,95.00,unknown,The URL provided raises several red flags typical ...,FLAGGED
www.moneysignals.ru,1,85.00,unknown,// admiralmarkets .com/ru) could also indicate an ...,FLAGGED
www.prabhjotsingh.info,1,85.00,unknown,//www.prabhjotsingh.info/index-317.html) and the b...,FLAGGED
xptcenter.com,1,85.00,unknown,// admiralmarkets .com) is a common tactic used in...,FLAGGED
www.steadyriches.com,1,85.00,unknown,"The Ultimate 10-Step Plan to Slash Expenses, Crush...",FLAGGED
www.alkhaleejdailynews.com,1,85.00,unknown,The content includes a link to a Forex market reso...,FLAGGED
sumyourtax.com,1,85.00,unknown,The content provided from the URL includes a suspi...,FLAGGED
invest-hub.com,1,90.00,unknown,The content provided raises several red flags typi...,FLAGGED
pankhuriyaan.com,1,85.00,unknown,The content on the provided URL raises several red...,FLAGGED
www.xosomienbaczone.com,1,85.00,unknown,The content suggests quick and easy registration f...,FLAGGED
finex.cz,1,85.00,unknown,The content suggests that AdmiralMarkets operates ...,FLAGGED
donovan6262.typepad.com,1,90.00,unknown,The content provided includes hyperlinks that appe...,FLAGGED
makemoneyonlinescam.com,1,90.00,unknown,The URL and content suggest potential compliance i...,FLAGGED
judgebroker.com,1,85.00,unknown,The content provided from the URL appears to be re...,FLAGGED
arabic-fx.com,1,85.00,unknown,The content on the provided URL raises significant...,FLAGGED
solarkeypoints.com,1,85.00,unknown,// admiralmarkets .com/education/articles/shares/t...,FLAGGED
techfave.site,1,85.00,unknown,The URL provided for Admiral Markets is formatted ...,FLAGGED
indexfundings.com,1,90.00,unknown,The content provided from the URL appears suspicio...,FLAGGED
www.wikifx.com,1,85.00,unknown,The content provided raises several red flags typi...,FLAGGED
138.201.173.205,1,90.00,unknown,The content provided includes a URL that uses an I...,FLAGGED
swamis17.typepad.com,1,85.00,unknown,The content provided includes hyperlinks that appe...,FLAGGED
forex-vietnam.com,1,85.00,unknown,"// admiralmarkets .com/forex-trading-course"" is sp...",FLAGGED
topsanfxs.com,1,85.00,unknown,The content provided from the URL raises several r...,FLAGGED
farsarotas.com,1,90.00,unknown,The content provided from the URL includes externa...,FLAGGED
www.spocr.cz,1,85.00,unknown,The URL provided contains several red flags that s...,FLAGGED
thai.broker,1,85.00,unknown,// admiralmarkets .sc/th/education/articles/tradin...,FLAGGED
topbrokers.africa,1,90.00,unknown,The content provided raises significant compliance...,FLAGGED
www.forex-wiki.de,1,85.00,unknown,// admiralmarkets .com/de/wissen/articles/forex-st...,FLAGGED
tfee-test.krabu.tech,1,85.00,unknown,The content provided lists several financial insti...,FLAGGED
www.litesoftware.com,1,85.00,unknown,"The URL listed as ""admiralmarkets.sc"" raises a sig...",FLAGGED
gerd-birkenkamp.de,1,90.00,unknown,The content on the URL provided raises several red...,FLAGGED
top10-forexbrokers.com,1,90.00,unknown,The content provided from the URL includes suspici...,FLAGGED
estilistasonline.com,1,85.00,unknown,The content provided includes a URL that appears t...,FLAGGED
www.1822direkt.de,1,90.00,unknown,The content provided appears to be promoting inves...,FLAGGED
reliableforexratings.com,1,85.00,unknown,The content provided raises several red flags typi...,FLAGGED
offtoproofingllc.com,1,90.00,unknown,The URL content suggests a potential misleading or...,FLAGGED
www.tecvya.com,1,90.00,unknown,The content provided appears to be potentially mis...,FLAGGED
pscb2broker.com,1,85.00,unknown,The content on the provided URL raises several red...,FLAGGED
personalfinancegoals.com,1,85.00,unknown,The content from the URL suggests potential issues...,FLAGGED
cristicristi.ro,1,85.00,unknown,The content provided includes multiple links to fi...,FLAGGED
die-handelszentrale.de,1,85.00,unknown,"The content suggests that the website ""die-handels...",FLAGGED
brokerreviewshub.com,1,85.00,unknown,The content provided from the URL raises several c...,FLAGGED
www.ellisregini.com,1,85.00,unknown,The content suggests that the company is providing...,FLAGGED
www.viewbook.in,1,85.00,unknown,"The content provided lists various websites, inclu...",FLAGGED
